,index,temperature,humidity,ta,pv,hm,td,m005Te,m01Te,m02Te,m03Te,YEAR,MONTH
0,2021-07-14 00:00:00,28.0,81.0,27.1,30.4,85,24.3,27.7,28.1,27.8,27.3,2021,7
1,2021-07-14 01:00:00,28.0,81.0,26.5,30.7,89,24.5,27.5,27.9,27.7,27.3,2021,7
2,2021-07-14 02:00:00,28.0,81.0,26.8,30.9,88,24.6,27.3,27.7,27.6,27.2,2021,7
3,2021-07-14 03:00:00,28.0,81.0,25.4,30.0,93,24.1,27.0,27.6,27.5,27.2,2021,7
4,2021-07-14 04:00:00,28.0,81.0,25.5,30.6,94,24.4,26.8,27.4,27.4,27.1,2021,7
5,2021-07-14 05:00:00,27.3,83.0,25.3,30.9,96,24.6,26.7,27.2,27.3,27.1,2021,7
6,2021-07-14 06:00:00,26.0,87.0,25.5,30.9,95,24.6,26.5,27.1,27.2,27.1,2021,7
7,2021-07-14 07:00:00,26.0,87.0,26.9,31.1,88,24.7,26.6,27.1,27.1,27.0,2021,7
8,2021-07-14 08:00:00,26.0,88.0,27.9,31.9,85,25.1,26.9,27.3,27.0,26.9,2021,7
9,2021-07-14 09:00:00,26.5,87.5,28.7,31.9,81,25.1,27.3,27.6,27.0,26.9,2021,7
10,2021-07-14 10:00:00,27.2,86.7,28.7,31.9,81,25.1,27.6,27.9,27.0,26.8,2021,7
11,2021-07-14 11:00:00,28.0,83.0,29.4,31.9,78,25.1,27.9,28.1,27.0,26.8,2021,7
12,2021-07-14 12:00:00,28.0,81.0,29.6,30.9,75,24.6,28.4,28.5,27.1,26.8,2021,7
13,2021-07-14 13:00:00,28.8,79.5,29.4,31.9,78,25.1,28.7,28.8,27.1,26.8,2021,7
14,2021-07-14 14:00:00,29.0,78.0,30.2,31.3,73,24.8,29.2,29.2,27.2,26.8,2021,7
15,2021-07-14 15:00:00,29.0,77.3,30.5,29.7,68,23.9,29.4,29.4,27.3,26.9,2021,7
16,2021-07-14 16:00:00,29.0,74.0,30.9,31.7,71,25.0,29.6,29.5,27.5,26.9,2021,7
17,2021-07-14 17:00:00,29.0,76.0,29.3,31.3,77,24.8,29.6,29.6,27.6,27.0,2021,7
18,2021-07-14 18:00:00,28.2,79.3,29.1,31.3,78,24.8,29.1,29.3,27.6,27.0,2021,7
19,2021-07-14 19:00:00,28.0,82.0,27.8,31.3,84,24.8,28.8,29.0,27.7,27.1,2021,7
20,2021-07-14 20:00:00,28.0,82.0,27.1,31.1,87,24.7,28.3,28.7,27.7,27.1,2021,7
21,2021-07-14 21:00:00,28.0,82.0,26.7,30.4,87,24.3,27.9,28.3,27.7,27.2,2021,7
22,2021-07-14 22:00:00,28.0,82.0,26.3,30.4,89,24.3,27.5,28.0,27.6,27.2,2021,7
23,2021-07-14 23:00:00,28.0,82.0,25.7,30.0,91,24.1,27.2,27.7,27.6,27.2,2021,7
24,2021-07-15 00:00:00,28.0,82.0,24.8,29.3,94,23.7,26.9,27.4,27.5,27.2,2021,7
25,2021-07-15 01:00:00,28.0,82.0,24.5,28.8,94,23.4,26.6,27.2,27.4,27.1,2021,7
26,2021-07-15 02:00:00,28.0,82.0,24.4,28.9,95,23.5,26.4,27.0,27.3,27.1,2021,7
27,2021-07-15 03:00:00,28.0,82.0,24.1,28.4,95,23.2,26.2,26.8,27.2,27.1,2021,7
28,2021-07-15 04:00:00,28.0,82.0,23.6,28.1,97,23.0,26.0,26.6,27.1,27.0,2021,7
29,2021-07-15 05:00:00,28.0,82.0,23.6,28.1,97,23.0,25.8,26.4,27.0,27.0,2021,7
30,2021-07-15 06:00:00,24.0,89.0,23.7,28.6,98,23.3,25.6,26.2,26.9,26.9,2021,7
31,2021-07-15 07:00:00,25.2,88.8,26.1,30.7,91,24.5,25.5,26.1,26.7,26.8,2021,7
32,2021-07-15 08:00:00,26.0,87.3,27.3,30.7,85,24.5,25.8,26.3,26.6,26.8,2021,7
33,2021-07-15 09:00:00,27.7,81.0,28.1,30.0,79,24.1,26.4,26.9,26.6,26.7,2021,7
