,index,temperature,humidity,ta,rn,ws,wd,hm,pv,td,m005Te,m01Te,m02Te,m03Te
0,2021-07-14 00:00:00,28.0,81.0,27.1,0.0,0.8,140,85,30.4,24.3,27.7,28.1,27.8,27.3
1,2021-07-14 01:00:00,28.0,81.0,26.5,0.0,1.3,90,89,30.7,24.5,27.5,27.9,27.7,27.3
2,2021-07-14 02:00:00,28.0,81.0,26.8,0.0,0.4,0,88,30.9,24.6,27.3,27.7,27.6,27.2
3,2021-07-14 03:00:00,28.0,81.0,25.4,0.0,0.0,0,93,30.0,24.1,27.0,27.6,27.5,27.2
4,2021-07-14 04:00:00,28.0,81.0,25.5,0.0,0.5,20,94,30.6,24.4,26.8,27.4,27.4,27.1
5,2021-07-14 05:00:00,27.3,83.0,25.3,0.0,0.6,20,96,30.9,24.6,26.7,27.2,27.3,27.1
6,2021-07-14 06:00:00,26.0,87.0,25.5,0.0,0.6,340,95,30.9,24.6,26.5,27.1,27.2,27.1
7,2021-07-14 07:00:00,26.0,87.0,26.9,0.0,1.0,70,88,31.1,24.7,26.6,27.1,27.1,27.0
8,2021-07-14 08:00:00,26.0,88.0,27.9,0.0,0.8,90,85,31.9,25.1,26.9,27.3,27.0,26.9
9,2021-07-14 09:00:00,26.5,87.5,28.7,0.0,0.8,160,81,31.9,25.1,27.3,27.6,27.0,26.9
10,2021-07-14 10:00:00,27.2,86.7,28.7,0.0,2.3,90,81,31.9,25.1,27.6,27.9,27.0,26.8
11,2021-07-14 11:00:00,28.0,83.0,29.4,0.0,2.5,90,78,31.9,25.1,27.9,28.1,27.0,26.8
12,2021-07-14 12:00:00,28.0,81.0,29.6,0.0,1.8,70,75,30.9,24.6,28.4,28.5,27.1,26.8
13,2021-07-14 13:00:00,28.8,79.5,29.4,0.0,2.4,70,78,31.9,25.1,28.7,28.8,27.1,26.8
14,2021-07-14 14:00:00,29.0,78.0,30.2,0.0,3.0,110,73,31.3,24.8,29.2,29.2,27.2,26.8
15,2021-07-14 15:00:00,29.0,77.3,30.5,0.0,2.0,140,68,29.7,23.9,29.4,29.4,27.3,26.9
16,2021-07-14 16:00:00,29.0,74.0,30.9,0.0,2.7,110,71,31.7,25.0,29.6,29.5,27.5,26.9
17,2021-07-14 17:00:00,29.0,76.0,29.3,0.0,2.1,90,77,31.3,24.8,29.6,29.6,27.6,27.0
18,2021-07-14 18:00:00,28.2,79.3,29.1,0.0,1.7,90,78,31.3,24.8,29.1,29.3,27.6,27.0
19,2021-07-14 19:00:00,28.0,82.0,27.8,0.0,1.5,70,84,31.3,24.8,28.8,29.0,27.7,27.1
20,2021-07-14 20:00:00,28.0,82.0,27.1,0.0,1.4,90,87,31.1,24.7,28.3,28.7,27.7,27.1
21,2021-07-14 21:00:00,28.0,82.0,26.7,0.0,1.9,90,87,30.4,24.3,27.9,28.3,27.7,27.2
22,2021-07-14 22:00:00,28.0,82.0,26.3,0.0,0.6,90,89,30.4,24.3,27.5,28.0,27.6,27.2
23,2021-07-14 23:00:00,28.0,82.0,25.7,0.0,0.8,70,91,30.0,24.1,27.2,27.7,27.6,27.2
24,2021-07-15 00:00:00,28.0,82.0,24.8,0.0,0.2,0,94,29.3,23.7,26.9,27.4,27.5,27.2
25,2021-07-15 01:00:00,28.0,82.0,24.5,0.0,0.6,20,94,28.8,23.4,26.6,27.2,27.4,27.1
26,2021-07-15 02:00:00,28.0,82.0,24.4,0.0,0.2,0,95,28.9,23.5,26.4,27.0,27.3,27.1
27,2021-07-15 03:00:00,28.0,82.0,24.1,0.0,0.5,70,95,28.4,23.2,26.2,26.8,27.2,27.1
28,2021-07-15 04:00:00,28.0,82.0,23.6,0.0,0.5,320,97,28.1,23.0,26.0,26.6,27.1,27.0
29,2021-07-15 05:00:00,28.0,82.0,23.6,0.0,0.2,0,97,28.1,23.0,25.8,26.4,27.0,27.0
30,2021-07-15 06:00:00,24.0,89.0,23.7,0.0,0.0,0,98,28.6,23.3,25.6,26.2,26.9,26.9
31,2021-07-15 07:00:00,25.2,88.8,26.1,0.0,0.1,0,91,30.7,24.5,25.5,26.1,26.7,26.8
32,2021-07-15 08:00:00,26.0,87.3,27.3,0.0,1.2,110,85,30.7,24.5,25.8,26.3,26.6,26.8
33,2021-07-15 09:00:00,27.7,81.0,28.1,0.0,1.1,250,79,30.0,24.1,26.4,26.9,26.6,26.7
34,2021-07-15 10:00:00,29.0,73.5,29.8,0.0,3.5,140,69,28.8,23.4,27.1,27.6,26.6,26.6
35,2021-07-15 11:00:00,29.7,69.3,30.2,0.0,1.7,200,68,29.1,23.6,28.4,28.8,26.7,26.6
36,2021-07-15 12:00:00,30.0,63.7,31.7,0.0,2.1,200,63,29.3,23.7,29.7,29.8,26.9,26.6
37,2021-07-15 13:00:00,31.0,61.3,31.5,0.0,2.6,200,63,28.9,23.5,30.5,30.7,27.2,26.7
38,2021-07-15 14:00:00,31.3,59.5,31.3,0.0,2.8,200,63,28.8,23.4,31.6,31.5,27.4,26.7
39,2021-07-15 15:00:00,32.0,60.0,31.5,0.0,3.0,230,63,28.9,23.5,32.2,31.8,27.7,26.8
40,2021-07-15 16:00:00,31.8,60.2,31.5,0.0,3.1,200,63,28.9,23.5,32.1,31.9,28.0,27.0
41,2021-07-15 17:00:00,30.7,62.3,31.7,0.0,1.8,200,63,29.3,23.7,32.0,31.8,28.3,27.1
42,2021-07-15 18:00:00,30.0,65.7,30.3,0.0,1.5,200,66,28.4,23.2,31.3,31.4,28.4,27.3
43,2021-07-15 19:00:00,29.0,70.0,29.5,0.0,1.7,110,73,30.0,24.1,30.6,30.9,28.6,27.4
44,2021-07-15 20:00:00,29.0,70.0,28.1,0.0,0.7,140,77,29.1,23.6,29.9,30.3,28.6,27.5
45,2021-07-15 21:00:00,29.0,70.0,27.2,0.0,0.2,0,83,29.8,24.0,29.3,29.7,28.6,27.6
46,2021-07-15 22:00:00,29.0,70.0,26.2,0.0,0.5,20,87,29.5,23.8,28.8,29.3,28.5,27.7
47,2021-07-15 23:00:00,29.0,70.0,25.6,0.0,1.0,70,90,29.5,23.8,28.3,28.8,28.4,27.7
48,2021-07-16 00:00:00,29.0,70.0,25.2,0.0,0.4,0,92,29.5,23.8,28.0,28.5,28.3,27.7
49,2021-07-16 01:00:00,29.0,70.0,25.6,0.0,0.5,50,93,30.4,24.3,27.7,28.2,28.2,27.7
50,2021-07-16 02:00:00,29.0,70.0,25.0,0.0,0.4,0,94,29.7,23.9,27.4,27.9,28.0,27.6
51,2021-07-16 03:00:00,29.0,70.0,24.3,0.0,0.6,20,95,28.8,23.4,27.1,27.7,27.9,27.6
52,2021-07-16 04:00:00,29.0,70.0,24.5,0.0,0.1,0,95,29.1,23.6,26.9,27.4,27.8,27.6
53,2021-07-16 05:00:00,29.0,70.0,24.1,0.0,0.7,20,97,28.9,23.5,26.6,27.2,27.7,27.5
54,2021-07-16 06:00:00,25.7,81.7,24.2,0.0,0.2,0,97,29.1,23.6,26.5,27.1,27.5,27.4
55,2021-07-16 07:00:00,25.5,84.5,26.2,0.0,0.3,0,90,30.6,24.4,26.4,27.0,27.4,27.4
56,2021-07-16 08:00:00,26.8,82.0,27.9,0.0,1.8,70,80,30.0,24.1,26.5,27.1,27.3,27.3
57,2021-07-16 09:00:00,28.0,77.0,29.3,0.0,1.9,90,73,29.7,23.9,26.9,27.5,27.2,27.2
58,2021-07-16 10:00:00,28.7,73.3,30.0,0.0,2.2,70,67,28.3,23.1,27.6,28.3,27.3,27.2
59,2021-07-16 11:00:00,30.0,65.5,31.2,0.0,2.5,70,61,27.6,22.7,28.9,29.5,27.4,27.2
60,2021-07-16 12:00:00,31.0,60.3,31.7,0.0,1.5,140,60,27.9,22.9,30.7,30.9,27.6,27.2
61,2021-07-16 13:00:00,32.2,56.7,32.1,0.0,2.4,160,63,30.0,24.1,31.7,32.0,27.8,27.2
62,2021-07-16 14:00:00,32.5,57.0,32.3,0.0,2.0,200,61,29.5,23.8,33.0,32.9,28.1,27.3
63,2021-07-16 15:00:00,32.0,59.0,32.0,0.0,2.6,200,61,28.9,23.5,33.6,33.3,28.5,27.4
64,2021-07-16 16:00:00,30.8,65.7,31.6,0.0,1.9,200,65,30.2,24.2,33.2,33.2,28.8,27.5
65,2021-07-16 17:00:00,25.5,71.0,29.4,0.0,2.0,200,72,29.5,23.8,32.6,32.8,29.0,27.7
66,2021-07-16 18:00:00,25.0,76.5,26.4,0.0,2.1,320,76,26.1,21.8,31.3,31.8,29.2,27.8
67,2021-07-16 19:00:00,25.0,79.0,21.6,33.1,0.8,320,98,25.2,21.2,28.4,29.8,29.2,28.0
68,2021-07-16 20:00:00,25.0,79.0,21.9,2.3,0.8,50,97,25.3,21.3,27.7,28.6,29.0,28.1
69,2021-07-16 21:00:00,25.0,79.0,21.9,0.0,0.1,0,96,25.2,21.2,27.4,28.1,28.7,28.1
70,2021-07-16 22:00:00,25.0,79.0,21.9,0.0,0.0,0,97,25.3,21.3,27.1,27.7,28.5,28.1
71,2021-07-16 23:00:00,25.0,79.0,21.7,0.0,0.0,0,98,25.3,21.3,26.8,27.4,28.2,28.0
72,2021-07-17 00:00:00,25.0,79.0,22.0,0.0,0.0,0,98,25.8,21.6,26.6,27.2,28.0,27.9
73,2021-07-17 01:00:00,25.0,79.0,22.3,0.0,0.0,0,96,25.8,21.6,26.3,26.9,27.8,27.8
74,2021-07-17 02:00:00,25.0,79.0,21.9,0.0,0.0,0,98,25.6,21.5,26.1,26.7,27.6,27.7
75,2021-07-17 03:00:00,25.0,79.0,22.0,0.0,0.0,0,97,25.5,21.4,25.9,26.5,27.4,27.6
76,2021-07-17 04:00:00,25.0,79.0,21.5,0.0,0.0,0,98,25.0,21.1,25.7,26.3,27.3,27.5
77,2021-07-17 05:00:00,25.0,79.0,21.6,0.0,0.0,0,98,25.2,21.2,25.5,26.1,27.2,27.4
78,2021-07-17 06:00:00,24.0,81.5,21.6,0.0,0.0,0,98,25.2,21.2,25.3,25.9,27.0,27.3
79,2021-07-17 07:00:00,23.0,84.5,22.9,0.0,0.0,0,95,26.4,22.0,25.2,25.8,26.9,27.2
80,2021-07-17 08:00:00,24.5,83.2,24.2,0.0,0.4,0,90,27.1,22.4,25.2,25.8,26.7,27.1
81,2021-07-17 09:00:00,25.3,78.7,26.4,0.0,1.7,70,77,26.4,22.0,25.5,26.1,26.6,27.0
82,2021-07-17 10:00:00,27.3,75.0,28.6,0.0,3.2,110,70,27.2,22.5,26.3,26.8,26.6,26.9
83,2021-07-17 11:00:00,28.0,73.0,29.5,0.0,4.6,110,66,27.1,22.4,27.4,27.9,26.7,26.9
84,2021-07-17 12:00:00,28.5,69.5,30.5,0.0,4.5,90,62,26.9,22.3,28.9,28.9,26.8,26.8
85,2021-07-17 13:00:00,29.0,66.8,29.3,0.0,4.1,90,66,26.8,22.2,30.1,30.0,27.1,26.8
86,2021-07-17 14:00:00,28.7,69.0,29.1,0.0,3.0,90,69,27.7,22.8,30.7,30.6,27.3,26.9
87,2021-07-17 15:00:00,28.7,71.3,30.2,0.0,3.2,90,65,27.7,22.8,30.5,30.4,27.6,27.0
88,2021-07-17 16:00:00,29.0,68.3,30.1,0.0,2.5,90,64,27.2,22.5,30.7,30.5,27.8,27.1
89,2021-07-17 17:00:00,28.7,66.7,29.9,0.0,2.6,90,63,26.4,22.0,30.7,30.5,27.9,27.2
90,2021-07-17 18:00:00,28.0,72.0,28.5,0.0,2.9,110,69,26.8,22.2,30.3,30.2,28.0,27.3
91,2021-07-17 19:00:00,27.2,73.7,27.3,0.0,2.1,90,76,27.4,22.6,29.5,29.7,28.1,27.4
92,2021-07-17 20:00:00,26.5,78.5,26.9,0.0,1.0,70,78,27.6,22.7,28.8,29.2,28.1,27.4
93,2021-07-17 21:00:00,25.0,81.0,26.4,0.0,1.7,70,82,28.1,23.0,28.4,28.8,28.1,27.5
94,2021-07-17 22:00:00,25.0,81.0,26.1,0.0,1.7,70,83,27.9,22.9,27.9,28.4,28.0,27.5
95,2021-07-17 23:00:00,25.0,81.0,26.1,0.0,2.1,50,82,27.6,22.7,27.6,28.1,27.9,27.5
96,2021-07-18 00:00:00,25.0,81.7,25.8,0.0,1.3,70,82,27.1,22.4,27.4,27.8,27.9,27.5
97,2021-07-18 01:00:00,25.0,82.0,25.3,0.0,1.9,70,85,27.2,22.5,27.0,27.6,27.8,27.5
98,2021-07-18 02:00:00,24.3,82.7,25.0,0.0,1.3,70,84,26.6,22.1,26.7,27.3,27.7,27.5
99,2021-07-18 03:00:00,24.0,83.0,25.2,0.0,2.5,90,82,26.3,21.9,26.5,27.1,27.5,27.5
100,2021-07-18 04:00:00,24.0,83.0,24.6,0.0,1.3,70,86,26.4,22.0,26.4,26.9,27.4,27.4
101,2021-07-18 05:00:00,23.0,85.0,23.4,4.6,0.7,110,96,27.6,22.7,26.1,26.7,27.3,27.4
