,temperature,humidity,Unnamed: 0,ta,rn,ws,wd,hm
2021-07-13 09:00:00,28.7,79.0,13296.0,29.5,0.0,1.9,180.0,73.0
2021-07-13 10:00:00,28.3,77.7,13297.0,30.1,0.0,2.2,200.0,70.0
2021-07-13 11:00:00,29.2,74.2,13298.0,31.5,0.0,2.4,160.0,67.0
2021-07-13 12:00:00,30.0,72.0,13299.0,32.5,0.0,1.8,200.0,61.0
2021-07-13 13:00:00,30.0,67.5,13300.0,32.3,0.0,3.1,140.0,62.0
2021-07-13 14:00:00,30.8,63.8,13301.0,31.8,0.0,3.3,140.0,61.0
2021-07-13 15:00:00,30.3,66.0,13302.0,31.4,0.0,3.9,110.0,64.0
2021-07-13 16:00:00,30.0,73.0,13303.0,30.0,0.0,2.9,160.0,73.0
2021-07-13 17:00:00,29.2,75.8,13304.0,30.0,0.0,2.7,140.0,72.0
2021-07-13 18:00:00,28.2,77.7,13305.0,28.9,0.0,2.4,140.0,78.0
2021-07-13 19:00:00,28.0,81.0,13306.0,28.5,0.0,1.9,110.0,81.0
2021-07-13 20:00:00,28.0,81.0,13307.0,27.7,0.0,2.1,110.0,85.0
2021-07-13 21:00:00,28.0,81.0,13308.0,27.8,0.0,2.2,110.0,84.0
2021-07-13 22:00:00,28.0,81.0,13309.0,27.4,0.0,2.4,110.0,85.0
2021-07-13 23:00:00,28.0,81.0,13310.0,27.3,0.0,2.5,140.0,84.0
2021-07-14 00:00:00,28.0,81.0,13311.0,27.1,0.0,0.8,140.0,85.0
2021-07-14 01:00:00,28.0,81.0,13312.0,26.5,0.0,1.3,90.0,89.0
2021-07-14 02:00:00,28.0,81.0,13313.0,26.8,0.0,0.4,0.0,88.0
2021-07-14 03:00:00,28.0,81.0,13314.0,25.4,0.0,0.0,0.0,93.0
2021-07-14 04:00:00,28.0,81.0,13315.0,25.5,0.0,0.5,20.0,94.0
2021-07-14 05:00:00,27.3,83.0,13316.0,25.3,0.0,0.6,20.0,96.0
2021-07-14 06:00:00,26.0,87.0,13317.0,25.5,0.0,0.6,340.0,95.0
2021-07-14 07:00:00,26.0,87.0,13318.0,26.9,0.0,1.0,70.0,88.0
2021-07-14 08:00:00,26.0,88.0,13319.0,27.9,0.0,0.8,90.0,85.0
2021-07-14 09:00:00,26.5,87.5,13320.0,28.7,0.0,0.8,160.0,81.0
2021-07-14 10:00:00,27.2,86.7,13321.0,28.7,0.0,2.3,90.0,81.0
2021-07-14 11:00:00,28.0,83.0,13322.0,29.4,0.0,2.5,90.0,78.0
2021-07-14 12:00:00,28.0,81.0,13323.0,29.6,0.0,1.8,70.0,75.0
2021-07-14 13:00:00,28.8,79.5,13324.0,29.4,0.0,2.4,70.0,78.0
2021-07-14 14:00:00,29.0,78.0,13325.0,30.2,0.0,3.0,110.0,73.0
2021-07-14 15:00:00,29.0,77.3,13326.0,30.5,0.0,2.0,140.0,68.0
2021-07-14 16:00:00,29.0,74.0,13327.0,30.9,0.0,2.7,110.0,71.0
2021-07-14 17:00:00,29.0,76.0,13328.0,29.3,0.0,2.1,90.0,77.0
2021-07-14 18:00:00,28.2,79.3,13329.0,29.1,0.0,1.7,90.0,78.0
2021-07-14 19:00:00,28.0,82.0,13330.0,27.8,0.0,1.5,70.0,84.0
2021-07-14 20:00:00,28.0,82.0,13331.0,27.1,0.0,1.4,90.0,87.0
2021-07-14 21:00:00,28.0,82.0,13332.0,26.7,0.0,1.9,90.0,87.0
2021-07-14 22:00:00,28.0,82.0,13333.0,26.3,0.0,0.6,90.0,89.0
2021-07-14 23:00:00,28.0,82.0,13334.0,25.7,0.0,0.8,70.0,91.0
2021-07-15 00:00:00,28.0,82.0,13335.0,24.8,0.0,0.2,0.0,94.0
2021-07-15 01:00:00,28.0,82.0,13336.0,24.5,0.0,0.6,20.0,94.0
2021-07-15 02:00:00,28.0,82.0,13337.0,24.4,0.0,0.2,0.0,95.0
2021-07-15 03:00:00,28.0,82.0,13338.0,24.1,0.0,0.5,70.0,95.0
2021-07-15 04:00:00,28.0,82.0,13339.0,23.6,0.0,0.5,320.0,97.0
2021-07-15 05:00:00,28.0,82.0,13340.0,23.6,0.0,0.2,0.0,97.0
2021-07-15 06:00:00,24.0,89.0,13341.0,23.7,0.0,0.0,0.0,98.0
2021-07-15 07:00:00,25.2,88.8,13342.0,26.1,0.0,0.1,0.0,91.0
2021-07-15 08:00:00,26.0,87.3,13343.0,27.3,0.0,1.2,110.0,85.0
2021-07-15 09:00:00,27.7,81.0,13344.0,28.1,0.0,1.1,250.0,79.0
2021-07-15 10:00:00,29.0,73.5,13345.0,29.8,0.0,3.5,140.0,69.0
2021-07-15 11:00:00,29.7,69.3,13346.0,30.2,0.0,1.7,200.0,68.0
2021-07-15 12:00:00,30.0,63.7,13347.0,31.7,0.0,2.1,200.0,63.0
2021-07-15 13:00:00,31.0,61.3,13348.0,31.5,0.0,2.6,200.0,63.0
2021-07-15 14:00:00,31.3,59.5,13349.0,31.3,0.0,2.8,200.0,63.0
2021-07-15 15:00:00,32.0,60.0,13350.0,31.5,0.0,3.0,230.0,63.0
2021-07-15 16:00:00,31.8,60.2,13351.0,31.5,0.0,3.1,200.0,63.0
2021-07-15 17:00:00,30.7,62.3,13352.0,31.7,0.0,1.8,200.0,63.0
2021-07-15 18:00:00,30.0,65.7,13353.0,30.3,0.0,1.5,200.0,66.0
2021-07-15 19:00:00,29.0,70.0,13354.0,29.5,0.0,1.7,110.0,73.0
2021-07-15 20:00:00,29.0,70.0,13355.0,28.1,0.0,0.7,140.0,77.0
2021-07-15 21:00:00,29.0,70.0,13356.0,27.2,0.0,0.2,0.0,83.0
2021-07-15 22:00:00,29.0,70.0,13357.0,26.2,0.0,0.5,20.0,87.0
2021-07-15 23:00:00,29.0,70.0,13358.0,25.6,0.0,1.0,70.0,90.0
2021-07-16 00:00:00,29.0,70.0,13359.0,25.2,0.0,0.4,0.0,92.0
2021-07-16 01:00:00,29.0,70.0,13360.0,25.6,0.0,0.5,50.0,93.0
2021-07-16 02:00:00,29.0,70.0,13361.0,25.0,0.0,0.4,0.0,94.0
2021-07-16 03:00:00,29.0,70.0,13362.0,24.3,0.0,0.6,20.0,95.0
2021-07-16 04:00:00,29.0,70.0,13363.0,24.5,0.0,0.1,0.0,95.0
2021-07-16 05:00:00,29.0,70.0,13364.0,24.1,0.0,0.7,20.0,97.0
2021-07-16 06:00:00,25.7,81.7,13365.0,24.2,0.0,0.2,0.0,97.0
2021-07-16 07:00:00,25.5,84.5,13366.0,26.2,0.0,0.3,0.0,90.0
2021-07-16 08:00:00,26.8,82.0,13367.0,27.9,0.0,1.8,70.0,80.0
2021-07-16 09:00:00,28.0,77.0,13368.0,29.3,0.0,1.9,90.0,73.0
2021-07-16 10:00:00,28.7,73.3,13369.0,30.0,0.0,2.2,70.0,67.0
2021-07-16 11:00:00,30.0,65.5,13370.0,31.2,0.0,2.5,70.0,61.0
2021-07-16 12:00:00,31.0,60.3,13371.0,31.7,0.0,1.5,140.0,60.0
2021-07-16 13:00:00,32.2,56.7,13372.0,32.1,0.0,2.4,160.0,63.0
2021-07-16 14:00:00,32.5,57.0,13373.0,32.3,0.0,2.0,200.0,61.0
2021-07-16 15:00:00,32.0,59.0,13374.0,32.0,0.0,2.6,200.0,61.0
2021-07-16 16:00:00,30.8,65.7,13375.0,31.6,0.0,1.9,200.0,65.0
2021-07-16 17:00:00,25.5,71.0,13376.0,29.4,0.0,2.0,200.0,72.0
2021-07-16 18:00:00,25.0,76.5,13377.0,26.4,0.0,2.1,320.0,76.0
2021-07-16 19:00:00,25.0,79.0,13378.0,21.6,33.1,0.8,320.0,98.0
