센서,온도,습도,베터리,업데이트 시간
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 16:40:06.511525
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 16:30:06.711115
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 16:20:06.255844
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 16:10:05.960466
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 16:00:06.163638
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 15:50:05.543247
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 15:40:06.433219
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 15:30:06.315791
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 15:20:05.660273
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 15:10:05.700959
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 15:00:06.197638
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 14:50:06.018292
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 14:40:05.890764
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 14:30:07.164730
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 14:20:06.193696
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 14:10:06.134128
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 14:00:06.184656
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 13:50:05.818639
대웅전-외부 후면-3번-직지사,17.0,87.0,100.0,2022-09-23 08:20:06.684213
대웅전-외부 후면-3번-직지사,16.0,89.0,100.0,2022-09-23 08:10:06.332820
대웅전-외부 후면-3번-직지사,15.0,91.0,100.0,2022-09-23 08:00:06.735427
대웅전-외부 후면-3번-직지사,15.0,91.0,100.0,2022-09-23 07:50:06.554903
대웅전-외부 후면-3번-직지사,15.0,91.0,100.0,2022-09-23 07:40:05.996183
대웅전-외부 후면-3번-직지사,15.0,91.0,100.0,2022-09-23 07:30:06.960339
대웅전-외부 후면-3번-직지사,14.0,91.0,100.0,2022-09-23 07:20:06.530486
대웅전-외부 후면-3번-직지사,14.0,91.0,100.0,2022-09-23 07:10:05.734223
대웅전-외부 후면-3번-직지사,14.0,91.0,100.0,2022-09-23 07:00:07.008322
대웅전-외부 후면-3번-직지사,14.0,91.0,100.0,2022-09-23 06:50:05.596117
대웅전-외부 후면-3번-직지사,14.0,91.0,100.0,2022-09-23 06:40:07.075334
대웅전-외부 후면-3번-직지사,14.0,91.0,100.0,2022-09-23 06:30:06.012573
대웅전-외부 후면-3번-직지사,14.0,91.0,100.0,2022-09-23 06:20:06.260712
대웅전-외부 후면-3번-직지사,15.0,90.0,100.0,2022-09-23 06:10:06.285684
대웅전-외부 후면-3번-직지사,15.0,90.0,100.0,2022-09-23 06:00:06.748700
대웅전-외부 후면-3번-직지사,15.0,90.0,100.0,2022-09-23 05:50:06.142118
대웅전-외부 후면-3번-직지사,15.0,90.0,100.0,2022-09-23 05:40:05.169629
대웅전-외부 후면-3번-직지사,15.0,90.0,100.0,2022-09-23 05:30:05.574537
대웅전-외부 후면-3번-직지사,15.0,90.0,100.0,2022-09-23 05:20:05.288034
