센서,온도,습도,베터리,업데이트 시간
대웅전-내부 괘불-5번-직지사,16.0,64.0,74.0,2022-10-29 15:30:06.512305
대웅전-내부 괘불-5번-직지사,16.0,64.0,74.0,2022-10-29 15:20:05.856080
대웅전-내부 괘불-5번-직지사,16.0,64.0,74.0,2022-10-29 15:10:06.439917
대웅전-내부 괘불-5번-직지사,16.0,64.0,74.0,2022-10-29 15:00:06.335129
대웅전-내부 괘불-5번-직지사,16.0,64.0,74.0,2022-10-29 14:50:06.358630
대웅전-내부 괘불-5번-직지사,16.0,64.0,74.0,2022-10-29 14:40:06.547737
대웅전-내부 괘불-5번-직지사,16.0,68.0,74.0,2022-10-29 14:30:06.095025
대웅전-내부 괘불-5번-직지사,16.0,68.0,74.0,2022-10-29 14:20:05.759698
대웅전-내부 괘불-5번-직지사,16.0,68.0,74.0,2022-10-29 14:10:06.125207
대웅전-내부 괘불-5번-직지사,16.0,68.0,74.0,2022-10-29 14:00:06.457015
대웅전-내부 괘불-5번-직지사,16.0,68.0,74.0,2022-10-29 13:50:05.830303
대웅전-내부 괘불-5번-직지사,16.0,68.0,74.0,2022-10-29 13:40:05.949870
대웅전-내부 괘불-5번-직지사,16.0,68.0,74.0,2022-10-29 13:30:07.061062
대웅전-내부 괘불-5번-직지사,16.0,68.0,74.0,2022-10-29 13:20:05.945865
대웅전-내부 괘불-5번-직지사,16.0,68.0,74.0,2022-10-29 13:10:05.835482
대웅전-내부 괘불-5번-직지사,16.0,68.0,74.0,2022-10-29 13:00:06.420941
대웅전-내부 괘불-5번-직지사,16.0,68.0,74.0,2022-10-29 12:50:06.517610
대웅전-내부 괘불-5번-직지사,15.0,70.0,74.0,2022-10-29 12:40:05.522189
대웅전-내부 괘불-5번-직지사,15.0,70.0,74.0,2022-10-29 12:30:06.003758
대웅전-내부 괘불-5번-직지사,15.0,70.0,74.0,2022-10-29 12:20:05.986760
대웅전-내부 괘불-5번-직지사,15.0,70.0,74.0,2022-10-29 12:10:06.923015
대웅전-내부 괘불-5번-직지사,15.0,70.0,74.0,2022-10-29 12:00:06.045159
대웅전-내부 괘불-5번-직지사,14.0,71.0,74.0,2022-10-29 11:50:05.618236
대웅전-내부 괘불-5번-직지사,14.0,71.0,74.0,2022-10-29 11:40:05.563840
대웅전-내부 괘불-5번-직지사,14.0,71.0,74.0,2022-10-29 11:30:05.868883
대웅전-내부 괘불-5번-직지사,14.0,71.0,74.0,2022-10-29 11:20:06.427155
대웅전-내부 괘불-5번-직지사,14.0,71.0,74.0,2022-10-29 11:10:06.317371
대웅전-내부 괘불-5번-직지사,14.0,71.0,74.0,2022-10-29 11:00:06.844174
대웅전-내부 괘불-5번-직지사,14.0,71.0,74.0,2022-10-29 10:50:05.593438
대웅전-내부 괘불-5번-직지사,14.0,71.0,74.0,2022-10-29 10:40:05.289392
대웅전-내부 괘불-5번-직지사,14.0,71.0,74.0,2022-10-29 10:30:06.223988
대웅전-내부 괘불-5번-직지사,14.0,71.0,74.0,2022-10-29 10:20:06.120060
대웅전-내부 괘불-5번-직지사,14.0,71.0,74.0,2022-10-29 10:10:05.799749
대웅전-내부 괘불-5번-직지사,14.0,71.0,74.0,2022-10-29 10:00:07.663956
대웅전-내부 괘불-5번-직지사,14.0,71.0,74.0,2022-10-29 09:50:06.333474
대웅전-내부 괘불-5번-직지사,14.0,71.0,74.0,2022-10-29 09:40:06.246701
대웅전-내부 괘불-5번-직지사,14.0,71.0,74.0,2022-10-29 09:30:06.758850
대웅전-내부 괘불-5번-직지사,14.0,71.0,74.0,2022-10-29 09:20:05.979839
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 09:10:06.094471
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 09:00:07.287481
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 08:50:05.718515
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 08:40:05.981732
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 08:30:06.780084
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 08:20:05.847755
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 08:10:06.570695
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 08:00:07.433319
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 07:50:06.421401
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 07:40:06.459173
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 07:30:06.885429
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 07:20:05.448256
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 07:10:05.469762
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 07:00:06.484808
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 06:50:05.459237
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 06:40:06.628600
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 06:30:06.487760
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 06:20:06.147997
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 06:10:05.219798
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 06:00:07.709146
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 05:50:05.521201
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 05:40:06.544443
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 05:30:06.344014
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 05:20:05.436605
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 05:10:06.268478
대웅전-내부 괘불-5번-직지사,14.0,68.0,74.0,2022-10-29 05:00:06.225867
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 04:50:05.981340
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 04:40:05.829743
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 04:30:05.541929
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 04:20:06.402890
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 04:10:06.210734
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 04:00:05.740475
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 03:50:05.215389
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 03:40:05.365984
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 03:30:05.463181
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 03:20:05.455170
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 03:10:06.155814
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 03:00:06.397185
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 02:50:06.290360
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 02:40:06.085341
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 02:30:06.255237
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 02:20:05.747024
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 02:10:05.753218
대웅전-내부 괘불-5번-직지사,15.0,67.0,74.0,2022-10-29 02:00:06.314772
