,tm,ta,rn,ws,wd,hm
0,2021-03-25 00:00:00,11.2,0.0,1.7,200.0,79
1,2021-03-25 01:00:00,10.8,0.0,1.0,160.0,82
2,2021-03-25 02:00:00,10.5,0.0,1.5,230.0,85
3,2021-03-25 03:00:00,10.6,0.0,1.9,270.0,82
4,2021-03-25 04:00:00,10.3,0.0,1.1,250.0,84
5,2021-03-25 05:00:00,10.0,0.0,1.3,230.0,82
6,2021-03-25 06:00:00,10.1,0.0,2.4,340.0,69
7,2021-03-25 07:00:00,10.2,0.0,1.4,20.0,78
8,2021-03-25 08:00:00,11.0,0.0,2.7,70.0,76
9,2021-03-25 09:00:00,12.5,0.0,0.6,180.0,68
10,2021-03-25 10:00:00,13.4,0.0,1.6,70.0,59
11,2021-03-25 11:00:00,15.6,0.0,2.0,200.0,52
12,2021-03-25 12:00:00,16.7,0.0,3.2,180.0,35
13,2021-03-25 13:00:00,17.9,0.0,3.8,200.0,36
14,2021-03-25 14:00:00,18.6,0.0,4.0,200.0,25
15,2021-03-25 15:00:00,19.1,0.0,3.4,200.0,29
16,2021-03-25 16:00:00,17.8,0.0,3.8,200.0,44
17,2021-03-25 17:00:00,16.8,0.0,5.0,200.0,46
18,2021-03-25 18:00:00,15.7,0.0,3.7,200.0,54
19,2021-03-25 19:00:00,14.5,0.0,4.3,200.0,55
20,2021-03-25 20:00:00,13.9,0.0,4.4,230.0,56
21,2021-03-25 21:00:00,13.2,0.0,2.8,230.0,68
22,2021-03-25 22:00:00,12.5,0.0,1.2,250.0,72
23,2021-03-25 23:00:00,11.9,0.0,1.4,200.0,73
24,2021-03-26 00:00:00,11.6,0.0,1.1,270.0,77
25,2021-03-26 01:00:00,11.1,0.0,1.7,230.0,80
26,2021-03-26 02:00:00,11.2,0.0,1.4,290.0,64
27,2021-03-26 03:00:00,10.9,0.0,0.2,0.0,73
28,2021-03-26 04:00:00,10.2,0.0,0.7,270.0,54
29,2021-03-26 05:00:00,9.9,0.0,0.1,0.0,62
30,2021-03-26 06:00:00,9.7,0.0,1.3,250.0,58
31,2021-03-26 07:00:00,9.4,0.0,2.1,230.0,64
32,2021-03-26 08:00:00,10.8,0.0,1.7,50.0,67
33,2021-03-26 09:00:00,12.7,0.0,1.0,70.0,63
34,2021-03-26 10:00:00,15.2,0.0,0.7,110.0,49
35,2021-03-26 11:00:00,17.6,0.0,0.9,70.0,42
36,2021-03-26 12:00:00,18.1,0.0,1.5,90.0,37
37,2021-03-26 13:00:00,19.4,0.0,0.5,110.0,34
38,2021-03-26 14:00:00,20.2,0.0,2.0,90.0,22
39,2021-03-26 15:00:00,19.9,0.0,3.6,90.0,26
40,2021-03-26 16:00:00,18.9,0.0,3.9,110.0,30
41,2021-03-26 17:00:00,18.3,0.0,2.3,90.0,34
42,2021-03-26 18:00:00,16.9,0.0,2.7,110.0,37
43,2021-03-26 19:00:00,15.3,0.0,2.3,90.0,54
44,2021-03-26 20:00:00,14.7,0.0,1.7,70.0,61
45,2021-03-26 21:00:00,14.3,0.0,2.0,90.0,61
46,2021-03-26 22:00:00,13.6,0.0,2.3,20.0,71
47,2021-03-26 23:00:00,13.6,0.0,2.1,70.0,64
48,2021-03-27 00:00:00,13.5,0.0,1.9,90.0,65
49,2021-03-27 01:00:00,12.5,0.0,1.2,70.0,70
50,2021-03-27 02:00:00,12.2,0.0,1.2,50.0,69
51,2021-03-27 03:00:00,11.9,0.0,1.7,20.0,71
52,2021-03-27 04:00:00,11.8,0.0,2.2,70.0,71
53,2021-03-27 05:00:00,11.2,0.0,2.7,70.0,76
54,2021-03-27 06:00:00,11.1,0.0,3.5,50.0,77
55,2021-03-27 07:00:00,11.6,0.0,4.4,50.0,74
56,2021-03-27 08:00:00,11.7,0.0,5.3,50.0,75
57,2021-03-27 09:00:00,12.6,0.0,4.9,50.0,72
58,2021-03-27 10:00:00,13.4,0.0,2.7,70.0,71
59,2021-03-27 11:00:00,14.5,0.0,3.7,90.0,78
60,2021-03-27 12:00:00,15.2,0.0,4.6,90.0,85
61,2021-03-27 13:00:00,15.2,0.0,4.6,90.0,91
62,2021-03-27 14:00:00,15.2,0.0,4.5,90.0,93
63,2021-03-27 15:00:00,15.3,0.1,4.6,110.0,93
64,2021-03-27 16:00:00,15.1,0.0,5.5,110.0,94
65,2021-03-27 17:00:00,14.9,0.0,4.8,110.0,97
66,2021-03-27 18:00:00,15.8,8.4,4.4,160.0,97
67,2021-03-27 19:00:00,16.8,0.0,9.5,160.0,90
68,2021-03-27 20:00:00,15.7,0.0,8.2,200.0,96
69,2021-03-27 21:00:00,15.7,16.4,7.6,200.0,99
70,2021-03-27 22:00:00,15.4,0.0,5.1,200.0,100
71,2021-03-27 23:00:00,14.9,0.0,5.4,200.0,99
72,2021-03-28 00:00:00,14.6,4.9,4.4,200.0,99
73,2021-03-28 01:00:00,14.5,0.0,3.3,230.0,100
74,2021-03-28 02:00:00,14.5,0.0,4.8,230.0,100
75,2021-03-28 03:00:00,14.5,0.6,5.2,230.0,100
76,2021-03-28 04:00:00,14.1,0.0,6.6,230.0,100
77,2021-03-28 05:00:00,13.7,0.0,6.9,270.0,87
78,2021-03-28 06:00:00,12.5,0.0,9.9,270.0,80
79,2021-03-28 07:00:00,11.8,0.0,7.5,270.0,79
80,2021-03-28 08:00:00,12.0,0.0,6.5,270.0,78
81,2021-03-28 09:00:00,12.7,0.0,8.2,270.0,71
82,2021-03-28 10:00:00,12.9,0.0,5.7,270.0,70
83,2021-03-28 11:00:00,13.9,0.0,2.9,250.0,68
84,2021-03-28 12:00:00,15.4,0.0,8.2,270.0,64
85,2021-03-28 13:00:00,15.9,0.0,6.8,290.0,62
86,2021-03-28 14:00:00,16.5,0.0,9.0,270.0,58
87,2021-03-28 15:00:00,17.7,0.0,6.9,270.0,53
88,2021-03-28 16:00:00,18.0,0.0,4.6,250.0,52
89,2021-03-28 17:00:00,17.9,0.0,5.6,270.0,51
90,2021-03-28 18:00:00,17.3,0.0,5.5,270.0,52
91,2021-03-28 19:00:00,16.0,0.0,3.3,250.0,54
92,2021-03-28 20:00:00,15.5,0.0,6.0,250.0,56
93,2021-03-28 21:00:00,14.7,0.0,2.9,250.0,64
94,2021-03-28 22:00:00,13.6,0.0,3.3,230.0,76
95,2021-03-28 23:00:00,13.6,0.0,5.9,250.0,71
96,2021-03-29 00:00:00,13.1,0.0,6.2,250.0,75
97,2021-03-29 01:00:00,12.4,0.0,4.4,250.0,81
98,2021-03-29 02:00:00,12.5,0.0,4.5,230.0,80
99,2021-03-29 03:00:00,12.9,0.0,4.5,230.0,79
100,2021-03-29 04:00:00,13.0,0.0,4.0,230.0,82
101,2021-03-29 05:00:00,12.9,0.0,4.3,250.0,82
102,2021-03-29 06:00:00,12.5,0.0,4.7,250.0,81
103,2021-03-29 07:00:00,12.2,0.0,4.4,250.0,67
104,2021-03-29 08:00:00,12.3,0.0,3.3,250.0,58
105,2021-03-29 09:00:00,12.9,0.0,3.4,250.0,56
106,2021-03-29 10:00:00,14.3,0.0,4.5,270.0,44
107,2021-03-29 11:00:00,15.3,0.0,3.5,250.0,43
108,2021-03-29 12:00:00,16.2,0.0,5.7,230.0,40
109,2021-03-29 13:00:00,17.7,0.0,5.4,230.0,33
110,2021-03-29 14:00:00,18.6,0.0,6.0,230.0,29
111,2021-03-29 15:00:00,18.9,0.0,6.4,230.0,30
112,2021-03-29 16:00:00,16.9,0.0,5.6,200.0,51
113,2021-03-29 17:00:00,15.9,0.0,5.6,200.0,57
114,2021-03-29 18:00:00,14.9,0.0,4.6,180.0,66
115,2021-03-29 19:00:00,15.9,0.0,2.7,290.0,31
116,2021-03-29 20:00:00,15.4,0.0,1.2,270.0,33
117,2021-03-29 21:00:00,14.9,0.0,2.8,270.0,39
118,2021-03-29 22:00:00,14.4,0.0,6.3,290.0,27
119,2021-03-29 23:00:00,13.8,0.0,8.7,290.0,26
120,2021-03-30 00:00:00,13.2,0.0,8.3,320.0,28
121,2021-03-30 01:00:00,12.9,0.0,7.5,320.0,28
122,2021-03-30 02:00:00,12.7,0.0,6.4,320.0,28
123,2021-03-30 03:00:00,12.4,0.0,3.2,290.0,29
124,2021-03-30 04:00:00,11.9,0.0,2.9,340.0,29
125,2021-03-30 05:00:00,11.5,0.0,1.5,340.0,33
126,2021-03-30 06:00:00,10.9,0.0,2.8,50.0,53
127,2021-03-30 07:00:00,11.2,0.0,2.5,20.0,36
128,2021-03-30 08:00:00,11.6,0.0,0.2,0.0,36
129,2021-03-30 09:00:00,13.0,0.0,1.2,50.0,28
130,2021-03-30 10:00:00,14.7,0.0,1.2,70.0,24
131,2021-03-30 11:00:00,15.1,0.0,1.8,90.0,29
132,2021-03-30 12:00:00,15.7,0.0,0.9,90.0,25
133,2021-03-30 13:00:00,17.5,0.0,1.4,180.0,25
134,2021-03-30 14:00:00,17.4,0.0,1.7,110.0,27
135,2021-03-30 15:00:00,18.1,0.0,2.2,200.0,28
136,2021-03-30 16:00:00,18.1,0.0,2.5,200.0,31
137,2021-03-30 17:00:00,17.6,0.0,3.8,230.0,26
138,2021-03-30 18:00:00,16.1,0.0,4.0,230.0,31
