센서,온도,습도,베터리,업데이트 시간
내부 후불벽화-5번-무위사,18.0,60.0,100.0,2022-10-29 16:40:06.424420
내부 후불벽화-5번-무위사,18.0,60.0,100.0,2022-10-29 16:30:06.078278
내부 후불벽화-5번-무위사,18.0,60.0,100.0,2022-10-29 16:20:06.139296
내부 후불벽화-5번-무위사,18.0,60.0,100.0,2022-10-29 16:10:06.821810
내부 후불벽화-5번-무위사,18.0,60.0,100.0,2022-10-29 16:00:06.450514
내부 후불벽화-5번-무위사,18.0,60.0,100.0,2022-10-29 15:50:05.571221
내부 후불벽화-5번-무위사,18.0,60.0,100.0,2022-10-29 15:40:06.117687
내부 후불벽화-5번-무위사,18.0,60.0,100.0,2022-10-29 15:30:06.512305
내부 후불벽화-5번-무위사,18.0,60.0,100.0,2022-10-29 15:20:05.856080
내부 후불벽화-5번-무위사,18.0,60.0,100.0,2022-10-29 15:10:06.439917
내부 후불벽화-5번-무위사,18.0,60.0,100.0,2022-10-29 15:00:06.335129
내부 후불벽화-5번-무위사,18.0,60.0,100.0,2022-10-29 14:50:06.358630
내부 후불벽화-5번-무위사,18.0,60.0,100.0,2022-10-29 14:40:06.547737
내부 후불벽화-5번-무위사,17.0,61.0,100.0,2022-10-29 14:30:06.095025
내부 후불벽화-5번-무위사,17.0,61.0,100.0,2022-10-29 14:20:05.759698
내부 후불벽화-5번-무위사,17.0,61.0,100.0,2022-10-29 14:10:06.125207
내부 후불벽화-5번-무위사,17.0,61.0,100.0,2022-10-29 14:00:06.457015
내부 후불벽화-5번-무위사,17.0,61.0,100.0,2022-10-29 13:50:05.830303
내부 후불벽화-5번-무위사,17.0,61.0,100.0,2022-10-29 13:40:05.949870
내부 후불벽화-5번-무위사,17.0,61.0,100.0,2022-10-29 13:30:07.061062
내부 후불벽화-5번-무위사,17.0,61.0,100.0,2022-10-29 13:20:05.945865
내부 후불벽화-5번-무위사,17.0,61.0,100.0,2022-10-29 13:10:05.835482
내부 후불벽화-5번-무위사,17.0,61.0,100.0,2022-10-29 13:00:06.420941
내부 후불벽화-5번-무위사,17.0,61.0,100.0,2022-10-29 12:50:06.517610
내부 후불벽화-5번-무위사,17.0,61.0,100.0,2022-10-29 12:40:05.522189
내부 후불벽화-5번-무위사,17.0,61.0,100.0,2022-10-29 12:30:06.003758
내부 후불벽화-5번-무위사,16.0,62.0,100.0,2022-10-29 12:20:05.986760
내부 후불벽화-5번-무위사,16.0,62.0,100.0,2022-10-29 12:10:06.923015
내부 후불벽화-5번-무위사,16.0,62.0,100.0,2022-10-29 12:00:06.045159
내부 후불벽화-5번-무위사,16.0,62.0,100.0,2022-10-29 11:50:05.618236
내부 후불벽화-5번-무위사,16.0,62.0,100.0,2022-10-29 11:40:05.563840
내부 후불벽화-5번-무위사,16.0,62.0,100.0,2022-10-29 11:30:05.868883
내부 후불벽화-5번-무위사,16.0,62.0,100.0,2022-10-29 11:20:06.427155
내부 후불벽화-5번-무위사,16.0,62.0,100.0,2022-10-29 11:10:06.317371
내부 후불벽화-5번-무위사,16.0,62.0,100.0,2022-10-29 11:00:06.844174
내부 후불벽화-5번-무위사,15.0,63.0,100.0,2022-10-29 10:50:05.593438
내부 후불벽화-5번-무위사,15.0,63.0,100.0,2022-10-29 10:40:05.289392
