센서,온도,습도,베터리,업데이트 시간
외부 후면-4번-무위사,20.0,62.0,87.0,2022-10-29 16:40:06.424420
외부 후면-4번-무위사,20.0,62.0,87.0,2022-10-29 16:30:06.078278
외부 후면-4번-무위사,20.0,62.0,87.0,2022-10-29 16:20:06.139296
외부 후면-4번-무위사,20.0,62.0,87.0,2022-10-29 16:10:06.821810
외부 후면-4번-무위사,20.0,62.0,87.0,2022-10-29 16:00:06.450514
외부 후면-4번-무위사,20.0,62.0,87.0,2022-10-29 15:50:05.571221
외부 후면-4번-무위사,20.0,62.0,87.0,2022-10-29 15:40:06.117687
외부 후면-4번-무위사,20.0,66.0,87.0,2022-10-29 15:30:06.512305
외부 후면-4번-무위사,20.0,66.0,87.0,2022-10-29 15:20:05.856080
외부 후면-4번-무위사,20.0,66.0,87.0,2022-10-29 15:10:06.439917
외부 후면-4번-무위사,20.0,66.0,87.0,2022-10-29 15:00:06.335129
외부 후면-4번-무위사,20.0,62.0,87.0,2022-10-29 14:50:06.358630
외부 후면-4번-무위사,20.0,62.0,87.0,2022-10-29 14:40:06.547737
외부 후면-4번-무위사,21.0,60.0,87.0,2022-10-29 14:30:06.095025
외부 후면-4번-무위사,21.0,60.0,87.0,2022-10-29 14:20:05.759698
외부 후면-4번-무위사,21.0,64.0,87.0,2022-10-29 14:10:06.125207
외부 후면-4번-무위사,21.0,64.0,87.0,2022-10-29 14:00:06.457015
외부 후면-4번-무위사,21.0,64.0,87.0,2022-10-29 13:50:05.830303
외부 후면-4번-무위사,21.0,64.0,87.0,2022-10-29 13:40:05.949870
외부 후면-4번-무위사,21.0,64.0,87.0,2022-10-29 13:30:07.061062
외부 후면-4번-무위사,21.0,64.0,87.0,2022-10-29 13:20:05.945865
외부 후면-4번-무위사,21.0,64.0,87.0,2022-10-29 13:10:05.835482
외부 후면-4번-무위사,21.0,64.0,87.0,2022-10-29 13:00:06.420941
외부 후면-4번-무위사,20.0,64.0,87.0,2022-10-29 12:50:06.517610
외부 후면-4번-무위사,19.0,67.0,87.0,2022-10-29 12:40:05.522189
외부 후면-4번-무위사,19.0,67.0,87.0,2022-10-29 12:30:06.003758
외부 후면-4번-무위사,19.0,69.0,87.0,2022-10-29 12:20:05.986760
외부 후면-4번-무위사,19.0,69.0,87.0,2022-10-29 12:10:06.923015
외부 후면-4번-무위사,19.0,69.0,87.0,2022-10-29 12:00:06.045159
외부 후면-4번-무위사,19.0,69.0,87.0,2022-10-29 11:50:05.618236
외부 후면-4번-무위사,18.0,71.0,87.0,2022-10-29 11:40:05.563840
외부 후면-4번-무위사,18.0,71.0,87.0,2022-10-29 11:30:05.868883
외부 후면-4번-무위사,18.0,71.0,87.0,2022-10-29 11:20:06.427155
외부 후면-4번-무위사,17.0,74.0,87.0,2022-10-29 11:10:06.317371
외부 후면-4번-무위사,17.0,74.0,87.0,2022-10-29 11:00:06.844174
외부 후면-4번-무위사,17.0,74.0,87.0,2022-10-29 10:50:05.593438
외부 후면-4번-무위사,17.0,76.0,87.0,2022-10-29 10:40:05.289392
외부 후면-4번-무위사,17.0,76.0,87.0,2022-10-29 10:30:06.223988
외부 후면-4번-무위사,16.0,79.0,87.0,2022-10-29 10:20:06.120060
외부 후면-4번-무위사,16.0,79.0,87.0,2022-10-29 10:10:05.799749
외부 후면-4번-무위사,16.0,79.0,87.0,2022-10-29 10:00:07.663956
외부 후면-4번-무위사,15.0,81.0,87.0,2022-10-29 09:50:06.333474
외부 후면-4번-무위사,15.0,81.0,87.0,2022-10-29 09:40:06.246701
외부 후면-4번-무위사,15.0,83.0,87.0,2022-10-29 09:30:06.758850
외부 후면-4번-무위사,15.0,83.0,87.0,2022-10-29 09:20:05.979839
외부 후면-4번-무위사,14.0,86.0,87.0,2022-10-29 09:10:06.094471
외부 후면-4번-무위사,13.0,89.0,87.0,2022-10-29 09:00:07.287481
외부 후면-4번-무위사,13.0,89.0,87.0,2022-10-29 08:50:05.718515
외부 후면-4번-무위사,13.0,90.0,87.0,2022-10-29 08:40:05.981732
외부 후면-4번-무위사,13.0,90.0,87.0,2022-10-29 08:30:06.780084
외부 후면-4번-무위사,12.0,93.0,87.0,2022-10-29 08:20:05.847755
외부 후면-4번-무위사,11.0,94.0,87.0,2022-10-29 08:10:06.570695
외부 후면-4번-무위사,11.0,94.0,87.0,2022-10-29 08:00:07.433319
외부 후면-4번-무위사,10.0,94.0,87.0,2022-10-29 07:50:06.421401
외부 후면-4번-무위사,10.0,94.0,87.0,2022-10-29 07:40:06.459173
외부 후면-4번-무위사,10.0,94.0,87.0,2022-10-29 07:30:06.885429
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 07:20:05.448256
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 07:10:05.469762
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 07:00:06.484808
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 06:50:05.459237
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 06:40:06.628600
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 06:30:06.487760
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 06:20:06.147997
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 06:10:05.219798
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 06:00:07.709146
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 05:50:05.521201
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 05:40:06.544443
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 05:30:06.344014
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 05:20:05.436605
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 05:10:06.268478
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 05:00:06.225867
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 04:50:05.981340
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 04:40:05.829743
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 04:30:05.541929
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 04:20:06.402890
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 04:10:06.210734
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 04:00:05.740475
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 03:50:05.215389
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 03:40:05.365984
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 03:30:05.463181
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 03:20:05.455170
외부 후면-4번-무위사,10.0,90.0,87.0,2022-10-29 03:10:06.155814
외부 후면-4번-무위사,11.0,87.0,87.0,2022-10-29 03:00:06.397185
외부 후면-4번-무위사,11.0,87.0,87.0,2022-10-29 02:50:06.290360
외부 후면-4번-무위사,11.0,87.0,87.0,2022-10-29 02:40:06.085341
외부 후면-4번-무위사,11.0,87.0,87.0,2022-10-29 02:30:06.255237
외부 후면-4번-무위사,11.0,87.0,87.0,2022-10-29 02:20:05.747024
외부 후면-4번-무위사,11.0,87.0,87.0,2022-10-29 02:10:05.753218
외부 후면-4번-무위사,11.0,87.0,87.0,2022-10-29 02:00:06.314772
외부 후면-4번-무위사,11.0,87.0,87.0,2022-10-29 01:50:05.948412
외부 후면-4번-무위사,11.0,87.0,87.0,2022-10-29 01:40:05.380913
외부 후면-4번-무위사,11.0,87.0,87.0,2022-10-29 01:30:06.325494
외부 후면-4번-무위사,11.0,87.0,87.0,2022-10-29 01:20:05.775325
외부 후면-4번-무위사,11.0,87.0,87.0,2022-10-29 01:10:05.399720
외부 후면-4번-무위사,11.0,87.0,87.0,2022-10-29 01:00:06.430883
외부 후면-4번-무위사,11.0,87.0,87.0,2022-10-29 00:50:05.639519
외부 후면-4번-무위사,11.0,87.0,87.0,2022-10-29 00:40:05.872405
외부 후면-4번-무위사,11.0,87.0,87.0,2022-10-29 00:30:06.122306
외부 후면-4번-무위사,11.0,87.0,87.0,2022-10-29 00:20:05.837987
외부 후면-4번-무위사,11.0,86.0,87.0,2022-10-29 00:10:06.200405
외부 후면-4번-무위사,11.0,86.0,87.0,2022-10-29 00:00:07.910563
외부 후면-4번-무위사,11.0,86.0,87.0,2022-10-28 23:50:05.861553
외부 후면-4번-무위사,11.0,86.0,87.0,2022-10-28 23:40:05.780835
외부 후면-4번-무위사,11.0,86.0,87.0,2022-10-28 23:30:06.344916
외부 후면-4번-무위사,11.0,86.0,87.0,2022-10-28 23:20:05.470808
외부 후면-4번-무위사,11.0,86.0,87.0,2022-10-28 23:10:06.075979
외부 후면-4번-무위사,11.0,86.0,87.0,2022-10-28 23:00:06.930935
외부 후면-4번-무위사,12.0,84.0,87.0,2022-10-28 22:50:06.258092
외부 후면-4번-무위사,12.0,84.0,87.0,2022-10-28 22:40:05.723971
외부 후면-4번-무위사,12.0,84.0,87.0,2022-10-28 22:30:05.823382
외부 후면-4번-무위사,12.0,84.0,87.0,2022-10-28 22:20:06.438972
외부 후면-4번-무위사,12.0,84.0,87.0,2022-10-28 22:10:06.683921
외부 후면-4번-무위사,12.0,84.0,87.0,2022-10-28 22:00:07.255935
외부 후면-4번-무위사,12.0,84.0,87.0,2022-10-28 21:50:06.492939
외부 후면-4번-무위사,13.0,82.0,87.0,2022-10-28 21:40:06.257980
외부 후면-4번-무위사,13.0,82.0,87.0,2022-10-28 21:30:06.375873
