,tm,ta,rn,ws,wd,hm
0,2021-10-07 00:00:00,17.8,0.0,0.8,110,88
1,2021-10-07 01:00:00,17.5,0.0,1.1,110,88
2,2021-10-07 02:00:00,16.7,0.0,1.0,20,92
3,2021-10-07 03:00:00,16.2,0.0,0.0,0,92
4,2021-10-07 04:00:00,16.2,0.0,0.5,50,92
5,2021-10-07 05:00:00,16.2,0.0,0.3,0,93
6,2021-10-07 06:00:00,16.1,0.0,0.0,0,92
7,2021-10-07 07:00:00,16.3,0.0,0.0,0,94
8,2021-10-07 08:00:00,17.6,0.0,0.3,0,91
9,2021-10-07 09:00:00,18.4,0.0,1.2,180,86
10,2021-10-07 10:00:00,20.8,0.0,1.0,200,79
11,2021-10-07 11:00:00,23.7,0.0,3.9,250,61
12,2021-10-07 12:00:00,24.1,0.0,2.6,290,58
13,2021-10-07 13:00:00,24.1,0.0,1.8,320,59
14,2021-10-07 14:00:00,24.0,0.0,2.4,270,62
15,2021-10-07 15:00:00,23.7,0.0,2.6,270,63
16,2021-10-07 16:00:00,20.7,0.0,3.5,270,78
17,2021-10-07 17:00:00,18.2,0.0,3.8,270,88
18,2021-10-07 18:00:00,18.2,0.0,1.6,270,88
19,2021-10-07 19:00:00,18.0,0.0,0.4,0,88
20,2021-10-07 20:00:00,17.1,0.0,0.0,0,91
21,2021-10-07 21:00:00,16.8,0.0,0.4,0,91
22,2021-10-07 22:00:00,16.6,0.0,0.9,20,92
23,2021-10-07 23:00:00,17.3,0.0,2.2,270,93
24,2021-10-08 00:00:00,17.3,0.0,0.9,320,92
25,2021-10-08 01:00:00,17.7,0.0,0.8,320,92
26,2021-10-08 02:00:00,16.7,0.0,1.0,360,92
27,2021-10-08 03:00:00,16.7,0.0,1.1,20,93
28,2021-10-08 04:00:00,16.6,0.0,0.7,20,92
29,2021-10-08 05:00:00,16.3,0.0,0.7,20,93
30,2021-10-08 06:00:00,16.2,0.0,2.2,50,93
31,2021-10-08 07:00:00,16.6,0.0,0.9,50,93
32,2021-10-08 08:00:00,17.8,0.0,0.9,20,90
33,2021-10-08 09:00:00,18.6,0.0,0.5,140,87
34,2021-10-08 10:00:00,18.8,0.0,2.0,140,86
35,2021-10-08 11:00:00,19.6,0.0,1.6,160,81
36,2021-10-08 12:00:00,20.3,0.0,2.6,90,81
37,2021-10-08 13:00:00,20.5,0.0,2.2,90,82
38,2021-10-08 14:00:00,20.5,0.0,1.4,90,83
39,2021-10-08 15:00:00,20.0,0.4,1.8,70,89
40,2021-10-08 16:00:00,19.7,0.0,1.5,70,87
41,2021-10-08 17:00:00,19.7,0.0,2.1,70,87
42,2021-10-08 18:00:00,19.3,0.0,1.1,90,89
43,2021-10-08 19:00:00,19.0,0.0,2.0,70,90
44,2021-10-08 20:00:00,18.8,0.0,1.2,70,92
45,2021-10-08 21:00:00,19.1,0.0,1.4,140,91
46,2021-10-08 22:00:00,19.3,0.0,2.1,90,90
47,2021-10-08 23:00:00,19.6,0.0,3.2,70,89
48,2021-10-09 00:00:00,19.3,0.0,3.2,70,90
49,2021-10-09 01:00:00,19.2,0.0,1.3,70,91
50,2021-10-09 02:00:00,19.6,0.0,3.4,70,88
51,2021-10-09 03:00:00,19.2,0.0,1.7,90,89
52,2021-10-09 04:00:00,18.7,0.0,1.5,90,91
53,2021-10-09 05:00:00,18.8,0.0,0.4,0,89
54,2021-10-09 06:00:00,18.7,0.0,0.0,0,90
55,2021-10-09 07:00:00,18.5,0.0,0.5,20,92
56,2021-10-09 08:00:00,19.0,0.0,2.0,110,90
57,2021-10-09 09:00:00,20.1,0.0,1.9,90,85
58,2021-10-09 10:00:00,21.1,0.0,3.9,90,81
59,2021-10-09 11:00:00,22.1,0.0,4.6,70,76
60,2021-10-09 12:00:00,23.7,0.0,3.7,90,70
61,2021-10-09 13:00:00,24.2,0.0,4.2,70,69
62,2021-10-09 14:00:00,24.9,0.0,3.1,70,68
63,2021-10-09 15:00:00,24.8,0.0,3.5,70,69
64,2021-10-09 16:00:00,24.6,0.0,4.4,70,69
65,2021-10-09 17:00:00,24.5,0.0,2.5,70,69
66,2021-10-09 18:00:00,22.5,0.0,2.5,50,79
67,2021-10-09 19:00:00,20.9,0.0,1.2,20,86
68,2021-10-09 20:00:00,20.2,0.0,0.6,290,89
69,2021-10-09 21:00:00,20.0,0.0,0.3,0,90
70,2021-10-09 22:00:00,19.6,0.0,1.3,50,91
71,2021-10-09 23:00:00,19.5,0.0,1.0,50,91
72,2021-10-10 00:00:00,19.5,0.0,0.6,50,92
73,2021-10-10 01:00:00,19.3,0.0,0.5,70,92
74,2021-10-10 02:00:00,18.8,0.0,1.3,20,93
75,2021-10-10 03:00:00,19.0,0.0,1.3,20,93
76,2021-10-10 04:00:00,19.5,0.0,1.1,110,93
77,2021-10-10 05:00:00,19.1,0.0,0.8,70,93
78,2021-10-10 06:00:00,18.5,0.0,1.7,20,94
79,2021-10-10 07:00:00,18.7,0.0,0.9,230,94
80,2021-10-10 08:00:00,19.2,0.0,0.2,0,92
81,2021-10-10 09:00:00,20.9,0.0,0.8,200,82
82,2021-10-10 10:00:00,23.5,0.0,1.3,200,71
83,2021-10-10 11:00:00,25.2,0.0,1.8,160,64
84,2021-10-10 12:00:00,27.1,0.0,2.7,200,56
85,2021-10-10 13:00:00,27.7,0.0,4.8,250,51
86,2021-10-10 14:00:00,27.3,0.0,4.4,270,54
87,2021-10-10 15:00:00,26.7,0.0,1.3,270,60
88,2021-10-10 16:00:00,26.5,0.0,2.5,290,61
89,2021-10-10 17:00:00,26.3,0.0,1.5,200,62
90,2021-10-10 18:00:00,23.1,0.0,0.3,0,76
91,2021-10-10 19:00:00,21.4,0.0,0.6,50,83
92,2021-10-10 20:00:00,22.3,0.0,0.4,0,80
93,2021-10-10 21:00:00,22.7,0.0,0.9,250,79
94,2021-10-10 22:00:00,21.6,0.3,1.6,200,87
95,2021-10-10 23:00:00,20.0,0.0,3.9,250,85
96,2021-10-11 00:00:00,18.7,0.0,5.8,270,89
97,2021-10-11 01:00:00,16.7,0.0,5.5,250,89
98,2021-10-11 02:00:00,15.6,0.0,5.8,250,89
99,2021-10-11 03:00:00,14.6,0.2,5.9,270,89
100,2021-10-11 04:00:00,13.5,0.1,5.4,270,90
101,2021-10-11 05:00:00,13.0,0.0,4.5,270,81
102,2021-10-11 06:00:00,11.9,0.5,5.7,270,84
103,2021-10-11 07:00:00,11.5,0.2,5.2,270,87
104,2021-10-11 08:00:00,11.5,0.3,3.7,270,87
105,2021-10-11 09:00:00,11.8,0.6,2.1,290,89
106,2021-10-11 10:00:00,12.5,0.9,1.8,290,87
107,2021-10-11 11:00:00,12.6,0.8,3.0,250,90
108,2021-10-11 12:00:00,12.5,0.9,2.9,250,91
109,2021-10-11 13:00:00,12.6,0.5,1.5,250,90
110,2021-10-11 14:00:00,13.0,1.3,0.4,0,91
111,2021-10-11 15:00:00,13.4,0.8,0.8,160,92
112,2021-10-11 16:00:00,13.5,3.3,1.3,140,92
113,2021-10-11 17:00:00,13.3,1.5,2.7,140,93
114,2021-10-11 18:00:00,13.3,0.8,2.8,140,93
115,2021-10-11 19:00:00,13.5,0.3,2.5,140,93
116,2021-10-11 20:00:00,13.7,0.2,1.9,140,94
117,2021-10-11 21:00:00,14.0,0.2,2.0,110,94
118,2021-10-11 22:00:00,14.3,0.3,1.4,90,93
119,2021-10-11 23:00:00,14.5,0.7,2.5,70,92
120,2021-10-12 00:00:00,14.5,0.7,3.8,70,91
121,2021-10-12 01:00:00,14.6,0.3,3.5,90,90
122,2021-10-12 02:00:00,14.6,0.4,3.8,90,90
123,2021-10-12 03:00:00,14.5,0.2,4.6,70,88
124,2021-10-12 04:00:00,14.3,0.2,3.2,70,89
125,2021-10-12 05:00:00,14.1,0.1,4.4,70,88
126,2021-10-12 06:00:00,13.7,0.4,3.0,90,88
127,2021-10-12 07:00:00,13.1,0.6,5.6,70,87
128,2021-10-12 08:00:00,12.8,1.1,6.1,70,89
