센서,온도,습도,베터리,업데이트 시간
내부 좌측-1번-무위사,30.0,69.0,100.0,2022-08-23 23:10:07.531521
내부 좌측-1번-무위사,30.0,69.0,100.0,2022-08-23 23:00:07.008446
내부 좌측-1번-무위사,30.0,69.0,100.0,2022-08-23 22:50:06.133446
내부 좌측-1번-무위사,30.0,69.0,100.0,2022-08-23 22:40:07.442866
내부 좌측-1번-무위사,30.0,69.0,100.0,2022-08-23 22:30:06.194990
내부 좌측-1번-무위사,30.0,69.0,100.0,2022-08-23 22:20:06.408077
내부 좌측-1번-무위사,30.0,69.0,100.0,2022-08-23 22:10:06.520624
내부 좌측-1번-무위사,30.0,69.0,100.0,2022-08-23 22:00:08.140710
내부 좌측-1번-무위사,30.0,69.0,100.0,2022-08-23 21:50:06.089619
내부 좌측-1번-무위사,30.0,72.0,100.0,2022-08-23 21:40:06.757703
내부 좌측-1번-무위사,30.0,72.0,100.0,2022-08-23 21:30:06.600697
내부 좌측-1번-무위사,30.0,72.0,100.0,2022-08-23 21:20:06.573261
내부 좌측-1번-무위사,30.0,72.0,100.0,2022-08-23 21:10:06.871282
내부 좌측-1번-무위사,30.0,72.0,100.0,2022-08-23 21:00:06.976398
내부 좌측-1번-무위사,30.0,72.0,100.0,2022-08-23 20:50:06.457466
내부 좌측-1번-무위사,30.0,72.0,100.0,2022-08-23 20:40:06.213048
내부 좌측-1번-무위사,30.0,72.0,100.0,2022-08-23 20:30:06.284805
내부 좌측-1번-무위사,30.0,72.0,100.0,2022-08-23 20:20:07.154030
내부 좌측-1번-무위사,30.0,72.0,100.0,2022-08-23 20:10:05.955613
내부 좌측-1번-무위사,30.0,72.0,100.0,2022-08-23 20:00:07.118869
내부 좌측-1번-무위사,30.0,72.0,100.0,2022-08-23 19:50:06.342763
내부 좌측-1번-무위사,30.0,72.0,100.0,2022-08-23 19:40:06.542192
내부 좌측-1번-무위사,30.0,72.0,100.0,2022-08-23 19:30:06.814304
내부 좌측-1번-무위사,30.0,72.0,100.0,2022-08-23 19:20:05.963493
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 19:10:06.768810
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 19:00:07.619417
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 18:50:06.685536
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 18:40:06.536254
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 18:30:06.582021
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 18:20:06.175303
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 18:10:06.054309
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 18:00:06.705864
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 17:50:06.021432
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 17:40:05.957597
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 17:30:06.155829
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 17:20:05.791348
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 17:10:06.038187
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 17:00:06.662913
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 16:50:06.163213
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 16:30:08.733820
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 16:20:05.996080
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 16:10:05.782489
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 16:00:06.418636
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 15:50:05.901195
내부 좌측-1번-무위사,31.0,72.0,100.0,2022-08-23 15:40:06.123764
내부 좌측-1번-무위사,30.0,74.0,100.0,2022-08-23 15:30:06.289392
내부 좌측-1번-무위사,30.0,74.0,100.0,2022-08-23 15:20:05.911262
내부 좌측-1번-무위사,30.0,74.0,100.0,2022-08-23 15:10:06.323893
내부 좌측-1번-무위사,30.0,74.0,100.0,2022-08-23 15:00:06.566216
내부 좌측-1번-무위사,30.0,74.0,100.0,2022-08-23 14:50:06.716799
내부 좌측-1번-무위사,30.0,74.0,100.0,2022-08-23 14:40:06.909954
내부 좌측-1번-무위사,29.0,77.0,100.0,2022-08-23 14:30:06.185577
내부 좌측-1번-무위사,29.0,77.0,100.0,2022-08-23 14:20:06.680757
내부 좌측-1번-무위사,29.0,77.0,100.0,2022-08-23 14:10:06.130831
내부 좌측-1번-무위사,29.0,77.0,100.0,2022-08-23 14:00:06.307705
내부 좌측-1번-무위사,29.0,77.0,100.0,2022-08-23 13:50:06.542518
내부 좌측-1번-무위사,29.0,77.0,100.0,2022-08-23 13:40:06.740366
내부 좌측-1번-무위사,29.0,75.0,100.0,2022-08-23 13:30:06.495687
내부 좌측-1번-무위사,29.0,75.0,100.0,2022-08-23 13:20:06.369727
내부 좌측-1번-무위사,30.0,71.0,100.0,2022-08-23 13:10:06.519527
내부 좌측-1번-무위사,30.0,71.0,100.0,2022-08-23 13:00:07.160429
내부 좌측-1번-무위사,30.0,71.0,100.0,2022-08-23 12:50:05.818297
내부 좌측-1번-무위사,30.0,71.0,100.0,2022-08-23 12:40:06.072843
내부 좌측-1번-무위사,29.0,73.0,100.0,2022-08-23 12:30:07.173204
내부 좌측-1번-무위사,29.0,73.0,100.0,2022-08-23 12:20:06.303341
내부 좌측-1번-무위사,29.0,73.0,100.0,2022-08-23 12:10:06.533934
내부 좌측-1번-무위사,29.0,73.0,100.0,2022-08-23 12:00:05.752461
내부 좌측-1번-무위사,29.0,73.0,100.0,2022-08-23 11:50:06.233603
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 11:40:06.513751
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 11:30:06.712685
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 11:20:06.298173
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 11:10:06.052619
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 11:00:06.928165
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 10:50:06.290356
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 10:40:06.443545
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 10:30:06.768690
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 10:20:06.894569
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 10:10:05.916497
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 10:00:07.182668
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 09:50:06.195502
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 09:40:06.097892
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 09:30:06.567050
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 09:20:06.382033
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 09:10:06.076972
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 09:00:06.821390
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 08:50:06.417114
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 08:40:05.996554
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 08:30:06.233561
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 08:20:05.964776
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 08:10:06.384175
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 08:00:07.547277
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 07:50:07.975405
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 07:40:06.417673
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 07:30:06.982860
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 07:20:06.967597
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 07:10:05.667647
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 07:00:06.878616
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 06:50:06.110675
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 06:40:06.016383
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 06:30:06.440438
내부 좌측-1번-무위사,28.0,71.0,100.0,2022-08-23 06:20:06.118956
내부 좌측-1번-무위사,28.0,67.0,100.0,2022-08-23 06:10:06.666927
내부 좌측-1번-무위사,28.0,67.0,100.0,2022-08-23 06:00:07.220346
내부 좌측-1번-무위사,28.0,67.0,100.0,2022-08-23 05:50:06.150339
내부 좌측-1번-무위사,28.0,67.0,100.0,2022-08-23 05:40:06.138259
내부 좌측-1번-무위사,28.0,67.0,100.0,2022-08-23 05:30:06.448352
내부 좌측-1번-무위사,28.0,67.0,100.0,2022-08-23 05:20:05.953625
